barcode,config_id,sku_id
NSPJRN-2094-M,BW_MAS_GALAXY_01,BBB3638645665
GF2-EC1-M/L,THGAEXCOPROVHO,CDP3154403314
VJAC-GHETTOGOSPEL_M,VJAC-GHETTOGOSPEL,V9215161354
VJAC-GHETTOGOSPEL_S,VJAC-GHETTOGOSPEL,V1254464783
GL1_CR_BLK_W_38,guglbatoscblslfowo,GIP6087125601
GL1_KUL_BAD_M_45,guglkuba,GIP6167731822
GL1_KUL_PIS_W_39,guglkupiwo,GIP5004336499
GL1_KUL_RAB_M_40,guglkura,GIP6526574374
VJAC-GF-MONTAKBULWAL_M,VJAC-GF-MONTAKBULWAL,V7643638755
GL1_BAA_BAA_M_42,gugunu00bababl,GIP4171098571
GL1_BAA_FAL_W_40,gugunu00bafablfowo,GIP7755205709
GL1_BAA_FIR_W_40,gugunu00bafigrfowo,GIP9092447221
GL1_BAA_KOR_M_43,gugunu00bakowh,GIP5077866285
GL1_BAA_KOR_M_46,gugunu00bakowh,GIP1027689893
GL1_NAADU_W_39,gugunu00nafowo,GIP2850499294
GL1_SYA_BLU_M_45,gugunu00sybllied,GIP4158029455
GLRE_BAA_WHI_W_38,gugunu00xroenhu35bawhtofowo,GIP6909391872
GL2_TUR_OLI_M_43,gugunu0019tuol,GIP3152826256
GL2_TUR_OLI_M_44,gugunu0019tuol,GIP9507009889
PM000178,BW_PAS_HANDBLOCKPRINTE_BLACK_01,PML5851597214
JAC-HARLYQUNLILMONS_XL,JAC-HARLYQUNLILMONS,V7531458792
NSPJ-2088-M,BW_MAS_HEARTFULSHIRTSE_RED_01,BBB7742894911
PBWSOR0000052,TSHIRT/HOB__Black,TLC3545534339
1542282197471,BW_DAS_LOW_SAND_02,DAD3050203251
SS-2788,BW_STI_HOPE_PRINTED_01,JMP4681624060
SS-2790,BW_STI_HOPE_PRINTED_01,JMP8013905590
8904469123701,THHUBR,TAP2003093392
CO003AF/S,IMPERIAL ROAR_Cobalt Blue,PA2691663673
PBWSOR0000117,TSHIRT/INHEART__White,TLC6507253697
NSPJRY-2108-XL,BW_MAS_IRISCANDYLOUNGE_PINK_01,BBB7726439528
SIPL19063-BLACK-M,SIPL19063_BLACK,SIP7276600734
89094025830,IPWPIPV,TTP5684846867
VJAC-ITSCHICKAFFAIR_M,VJAC-ITSCHICKAFFAIR,V9285538566
VJNS-JAPANESETIGERART_28,VJNS-JAPANESETIGERART,V4923829774
8909196534110,BW_RAR_JENSHI_PURPLE_01,RTP2146594443
VJAC-JSNOEXCUSES_L,VJAC-JSNOEXCUSES,V1935760613
SIPL19013-RED-XL,SIPL19013_RED,SIP2252051906
VJAC-JUNGLEWARIOR_3XL,VJAC-JUNGLEWARIOR,V2755127480
PBWSOR0000124,TSHIRT/KARMA__Black,TLC1728500199
SIPL1637-BLUE-S,SIPL1637_BLUE,SIP4659483866
VJAC-KINGJAMESTNLU_XXL,VJAC-KINGJAMESTNLU,V7034294655
PM000140,BW_PAS_BABY_WHITE_01,PML7519760872
VJAC-LIFEDFRIGHTENM_XL,VJAC-LIFEDFRIGHTENM,V9438872041
VJAC-LIFEISAPARTY_XXL,VJAC-LIFEISAPARTY,V5226657136
NSPJOST-2050-XL,BW_MAS_LIGHT_GREEN_01,BBB1517679176
VJAC-LOVEDONTFADE_3XL,VJAC-LOVEDONTFADE,V8393016902
VJAC-LOVEDONTFADE_S,VJAC-LOVEDONTFADE,V1125889710
VJAC-LOVEDONTFADE_XL,VJAC-LOVEDONTFADE,V9900149045
8901229020409,UBJ_LUM_PURP,SI(4022329284
8901229020430,UBJ_LUM_PURP,SI(9212743403
AW24BO02ON-XL,BW_FEI_AW24BO02ON_BLACK_01,MF(7960762634
AW24BO02SG-M,BW_FEI_AW24BO02SG_YELLOW_01,MF(2416574699
SIPL1914-ORANGE-L,SIPL1914_ORANGE,SIP3368766605
VJAC-MMONNFRND_M,VJAC-MMONNFRND,V9866324493
SIPL1758-BLUE-L,SIPL1758_BLUE,SIP4634988867
SIPL1758-BLUE-M,SIPL1758_BLUE,SIP4240213408
SIPL1971-PINK-XS,SIPL1971_PINK,SIP6496643635
SIPL1824-BLUE-L,SIPL1824_BLUE,SIP2483070667
SIPL1765-WHITE-M,SIPL1765_WHITE,SIP4729887625
8904469115638,THMAMO,TAP3090513456
SIPL1723-PINK-XXL,SIPL1723_PINK,SIP1746030954
726684038732,members-club-blue,GMP3824129841
8905826281980,BW_BEA_THERAT_BLUE_01,BHC9485456157
8905826262545,BW_BEA_JOAQ_DARKBLUE_01,BHC7720772901
8905826262576,BW_BEA_JOAQ_DARKBLUE_01,BHC3292243456
8905826411677,BW_BEA_MANIL_GREY_01,BHC4770025575
8905826411691,BW_BEA_MANIL_GREY_01,BHC9597531977
8905826309158,BW_BEA_EMBR_BROWN_01,BHC3084447920
8905826230551,BW_BEA_LOPEM_BLACK_01,BHC7493579063
8905826229456,BW_BEA_PASEOL_01,BHC4972599903
8905826229494,BW_BEA_PASEOL_01,BHC5242495080
8905826230483,BW_BEA_OMESA_WHITE_01,BHC4343384721
8905826230810,BW_BEA_LEWTO_GREY_01,BHC9619744860
8905826347815,BW_BEA_YOON_BLUE_01,BHC8524695061
8905826347822,BW_BEA_YOON_BLUE_01,BHC9986685111
8905826347853,BW_BEA_YOON_BLUE_01,BHC1001484259
8901229134274,UBJ_METLL_CREM,SI(6269526862
8901229003174,UBJ_METLL_GRY,SI(2070440536
SIPL1727-BROWN-XL,SIPL1727_BROWN,SIP3647235549
VJAC-MID-AIRMADNESS3.0_XL,VJAC-MID-AIRMADNESS3.0,V7520113846
SIPL1811-RED-M,SIPL1811_RED,SIP2576112140
8809268158469,MXBGESS,SCP7117899374
8809732910791,MXCSC,SCP6655607379
8809268158452,MXLFESS,SCP3102741476
8905202264606,BW_CRA_MUMBAITERRY_BLACK_01,HOB4108225060
PM000189,BW_PAS_HANDBLOCKPRINTE_NAVYBLUE_01,PML8249240679
PM000191,BW_PAS_HANDBLOCKPRINTE_NAVYBLUE_01,PML7420890733
AW25-SHIRT101-XL/XXL,THNALOSLSHWILAUPBA,CDP2335196322
JAC-NEWAGOUTLAW_L,JAC-NEWAGOUTLAW,V2140328748
SIPL1917-BLUE-L,SIPL1917_BLUE,SIP3870459251
8907535778271,BW_OUT_NOIRZIPPER_WHITE_01,BAP4736991782
VJAC-NOREGRET_S,VJAC-NOREGRET,V7651904654
8909196252601,BW_RAR_NORINT_TEAL_01,RTP3051698418
VJAC-NB-NVRLOSNVRCHOS_L,VJAC-NB-NVRLOSNVRCHOS,V8666381286
8809652581835,NUMNO3SUGLESTO,LRP4435646209
VJNS-OFFTHEGRIDWHITE_28,VJNS-OFFTHEGRIDWHITE,V6262358987
PBWSOR0000329,PMFS/3D__Black,TLC3877216910
726684035441,pataka,GMP6913735698
9644592858371,BW_DAS_PATTERNEDBROCAD_MULTI_01,DAD6588197024
SIPL19064-BROWN-XS,SIPL19064_BROWN,SIP3133596851
PBWHOM0000005,BW_HOU_HIGHWAISTSKIRT_PINK_01,HOM4659757271
8905826230292,BW_BEA_PERTOK_BLUE_01,BHC9135579158
NSSHRY-2133-L,BW_MAS_PINEAPPLELOUNGE_GREEN_01,BBB1776661881
8906190441871,BW_PIN_BREASTPASTIES_NUDE_01,PPL7653054463
8907535778336,BW_OUT_FLAMEARIN_RED_01,BAP1793449126
PF500172,PF50017__Brown,PAP6955790208
PF500317,Guided by Ray__Blue,PAP8998718979
PF500661,PF500661_brown,PAP2818655597
PF500075,PF50007__Blue,PAP2829301735
PF500234,PF50023__Orange,PAP2685733686
PF500184,PF50018__White,PAP4760410429
8904432418667,PRQUDRCATSH_NA,PGP6000931238
SIPL1767-PINK-XL,SIPL1767_PINK,SIP7811043249
726684039807,radioactive,GMP1913895171
SS-826,BW_STI_RAINE_PINK_01,JMP5535715624
8908020986219,sarabahapefowoflhamiscalfrlola50,ANB1648908267
8909196423650,BW_RAR_ELARY_BLACK_01,RTP7452207198
8909196439552,BW_RAR_AVIGIN_BEIGE_01,RTP1204396342
8909196500689,BW_RAR_ELANE_WHITE_01,RTP3691427708
8909196500764,BW_RAR_ELANI_BEIGE_01,RTP9245601555
8909196499969,BW_RAR_ELBON_MULTI_01,RTP3662726856
8909196500269,BW_RAR_ELDEE_BLUE_01,RTP3457981547
8909196535247,BW_RAR_ELERI_GREEN_01,RTP8994013906
8909196568436,BW_RAR_JANCURA_BLACK_01,RTP8116168488
8909196533113,BW_RAR_JENLIO_GREEN_01,RTP4203993906
8909196531386,BW_RAR_JENZIF_RUST_01,RTP6372428280
8909196530075,BW_RAR_JETTO_MULTI_01,RTP2933427967
8909196251741,BW_RAR_MARLIN_WHITE_01,RTP8250474530
8909196251758,BW_RAR_MARLIN_WHITE_01,RTP8896348566
8909196585686,BW_RAR_NENK_BEIGE_01,RTP3867268992
8909196498498,BW_RAR_NUSHI_NAVY_01,RTP1969856730
8909196244569,BW_RAR_SOMVET_RED_01,RTP1620597682
8909196425296,BW_RAR_TAPER_GREY_01,RTP4923599516
8909196558376,BW_RAR_ZOPTUS_BEIGE_01,RTP3367751045
8908019192230,sereoppoge_de,2RP5612646268
SIPL1906-WHITE-XS,SIPL1906_WHITE,SIP9535381604
VJAC-RISEABOVE_M,VJAC-RISEABOVE,V3625175531
8901229142743,UBJ_ROM_BLU,SI(1193658378
VJAC-ROCKBALBOA_S,VJAC-ROCKBALBOA,V3432330223
VJAC-ROCKBALBOA_XXL,VJAC-ROCKBALBOA,V3100355636
8904344220136,RWRWCOKUMABL,RPL3963536177
8904344219246,RWRWDRHOSHMOKH,RPL9969405081
8904344215163,RWRWES0YE,RPL6265336909
8904344217952,RWRWES30DURO,RPL1777919466
8904344218300,RWRWES40SKDR,RPL5710512567
8904344218782,RWRWGAMUTEIV,RPL8642854075
8904344220402,RWRWHOKURUBR,RPL3401919006
