config_id,barcode,sku_id
alter-sandman,754523810102,GMP1871438692
alter-sandman,754523810188,GMP4548277461
alter-shelby,726684039531,GMP9167133585
alter-shelby,726684039548,GMP8974348800
alter-shelby,726684039562,GMP6191167357
alter-shelby,726684039586,GMP2273980797
alter-sonic,754523810201,GMP8348698541
alter-sonic,754523810218,GMP4452129014
alter-titan,726684037247,GMP7126024362
alter-titan,726684037261,GMP4544925284
alter-titan,726684037285,GMP9769635171
alter-titan,726684037292,GMP4470933664
alter-trickster,726684036974,GMP3300731020
alter-trickster,726684036998,GMP4915086759
alter-trickster,726684037049,GMP2002146398
alter-vulcan,726684039920,GMP5856280736
alter-vulcan,726684039937,GMP2744465372
alter-vulcan,726684039968,GMP5961047291
alter-vulcan,726684039975,GMP1111129929
alter-vulcan,726684039982,GMP8271970528
alter-vulcan,754523810003,GMP6086590294
alter-waldorf,726684036868,GMP1779401071
SIPL1921_BLACK,SIPL1921-BLACK-L,SIP1815873523
SIPL1921_BLACK,SIPL1921-BLACK-XL,SIP7074319744
SIPL1921_BLACK,SIPL1921-BLACK-XS,SIP8492219708
SIPL1752_WHITE,SIPL1752-WHITE-L,SIP2189488968
BW_STI_AMORA_GREEN_01,SS-2529,JMP2780216280
BW_STI_AMORA_GREEN_01,SS-2530,JMP9776412604
BW_STI_AMORA_GREEN_01,SS-2531,JMP7131492930
BW_BEA_ANAKIN_WHITE_01,8905826208673,BHC1763615353
BW_BEA_ANAKIN_WHITE_01,8905826208703,BHC4770688960
BW_BEA_ANAKIN_WHITE_01,8905826208710,BHC8132768151
BW_BEA_ANAKIN_WHITE_01,8905826208727,BHC4972664349
BW_BEA_ANAKIN_WHITE_01,8905826208734,BHC3516321549
BW_STI_ANAYA_WHITE_01,SS-2699,JMP1311745866
SIPL1923_BLACK,SIPL1923-BLACK-XL,SIP7155773899
SIPL1923_BLACK,SIPL1923-BLACK-XS,SIP9572095684
SIPL1923_BLACK,SIPL1923-BLACK-XXL,SIP6515265683
SIPL1922_BLACK,SIPL1922-BLACK-S,SIP3958186483
BW_STI_ANNE_BLUE_01,SS-3040,JMP3864833527
BW_STI_ANNE_BLUE_01,SS-3042,JMP2560113014
BW_STI_ANNE_BLUE_01,SS-3043,JMP4311148233
C224VTC110 _beige,C224VTC110-S,RCP6020544181
C224VTC110 _beige,C224VTC110-XS,RCP5907320978
C224VTC109 _pink,C224VTC109-L,RCP4379609975
C224VTC109 _pink,C224VTC109-S,RCP8956686754
C224DROP322 _black,C224DROP322-L,RCP8368892080
C224DROP322 _black,C224DROP322-M,RCP9711973962
C224DROP324 _gray,C224DROP324-L,RCP6287681494
C224DROP324 _gray,C224DROP324-M,RCP5124114370
C224DROP324 _gray,C224DROP324-S,RCP7728132251
C224DROP324 _gray,C224DROP324-XL,RCP6637855613
apex-ember,754523813882,GMP9741591909
apex-ember,754523813899,GMP7956007451
apex-katana,754523813684,GMP6057439604
apex-katana,754523813691,GMP7839647164
apex-katana,754523813714,GMP3495224270
apex-moonwalker,754523813998,GMP6763993374
apex-moonwalker,754523814001,GMP3188937773
apex-moonwalker,754523814032,GMP8504988156
apex-moonwalker,754523814049,GMP5769177537
apex-obsidian,754523813493,GMP5206327622
apex-obsidian,754523813554,GMP1611290865
apex-photon,754523813783,GMP7271153599
apex-photon,754523813790,GMP3882174957
apex-photon,754523813806,GMP7816485316
apex-photon,754523813844,GMP5114098067
apex-stratos,754523814070,GMP1037095870
apex-stratos,754523814100,GMP6896904031
apex-stratos,754523814117,GMP8328031400
apex-stratos,754523814131,GMP2000135306
BW_STI_APRIL_PINK_01,SS-2932,JMP6894149468
BW_STI_APRIL_PINK_01,SS-2933,JMP3519649720
BW_STI_APRIL_PINK_01,SS-2934,JMP3569372982
BW_STI_APRIL_PINK_01,SS-2935,JMP1374369297
BW_STI_APRIL_PINK_01,SS-2936,JMP3934804565
HAAQBEWAEMCOSH,250009316,HLP4073194146
AQLBRM,8904417311884,HCL7840450573
SIPL20071_WINE,SIPL20071-WINE-M,SIP2818822805
SIPL20071_WINE,SIPL20071-WINE-S,SIP5839606434
SIPL20071_WINE,SIPL20071-WINE-XS,SIP1705263987
THARBLST,8904469120281,TAP1042877734
THARBLST,8904469120298,TAP1818952066
THARBLST,8904469120304,TAP5098498870
THARBLST,8904469120311,TAP9426850729
THARBLST,8904469120342,TAP5037968906
THARBR,8904469119063,TAP1825460550
THARBR,8904469119070,TAP6379865195
THARBR,8904469119094,TAP4487976087
THARBR,8904469119100,TAP5361110727
THARBR,8904469119117,TAP9281029367
HAARREBLEMSH,240013913,HLP2053465026
HAARREBLEMSH,240013917,HLP7461185053
SIPL20077_GREEN,SIPL20077-GREEN-L,SIP5082241581
SIPL20077_GREEN,SIPL20077-GREEN-M,SIP2610316151
